qual	method	off	on
0	bwa	0.162786942164	0.836706692946
0	gsnap	0.107676928817	0.752909855183
0	last	0.106536087386	0.765808834473
0	bis1	0.0743589003185	0.561841289293
0	bis2	0.0851252235773	0.628742865229
0	real_R1	0.144385589669	0.739475140752
0	bsmap	0.08141295236	0.611074087893
0	bsmooth	0.148549539752	0.826054735666
1	bwa	0.113387563805	0.774416246476
1	gsnap	0.107676928817	0.752909855183
1	last	0.106536087386	0.765808834473
1	bis1	0.0743589003185	0.561841289293
1	bis2	0.0851252235773	0.628742865229
1	real_R1	0.13845502391	0.73867487557
1	bsmap	0.08141295236	0.611074087893
1	bsmooth	0.140239835297	0.802746326172
2	bwa	0.112841198017	0.773985680569
2	gsnap	0.107676928817	0.752909855183
2	last	0.106536087386	0.765808834473
2	bis1	0.0743589003185	0.561841289293
2	bis2	0.0851252235773	0.628742865229
2	real_R1	0.11539522321	0.705394029611
2	bsmap	0.08141295236	0.611074087893
2	bsmooth	0.118349207938	0.770109499615
3	bwa	0.112356786649	0.773651334374
3	gsnap	0.107660562566	0.752906443487
3	last	0.106536087386	0.765808834473
3	bis1	0.0743589003185	0.561841289293
3	bis2	0.0851252235773	0.628742865229
3	real_R1	0.110601394958	0.704596434451
3	bsmap	0.08141295236	0.611074087893
3	bsmooth	0.112062738021	0.766396635059
4	bwa	0.111763794352	0.773031147399
4	gsnap	0.107660562566	0.752906443487
4	last	0.106536087386	0.765808834473
4	bis1	0.0743589003185	0.561841289293
4	bis2	0.0851252235773	0.628742865229
4	real_R1	0.110601394958	0.704596434451
4	bsmap	0.08141295236	0.611074087893
4	bsmooth	0.110815837349	0.757669220362
5	bwa	0.111257429462	0.772590890297
5	gsnap	0.107660562566	0.752906443487
5	last	0.106536087386	0.765808834473
5	bis1	0.0743589003185	0.561841289293
5	bis2	0.0851252235773	0.628742865229
5	real_R1	0.110601394958	0.704596434451
5	bsmap	0.08141295236	0.611074087893
5	bsmooth	0.110697614671	0.757537993684
6	bwa	0.110758926307	0.772034091643
6	gsnap	0.107660562566	0.752906443487
6	last	0.106536087386	0.765808834473
6	bis1	0.0743589003185	0.561841289293
6	bis2	0.0851252235773	0.628742865229
6	real_R1	0.110601394958	0.704596434451
6	bsmap	0.08141295236	0.611074087893
6	bsmooth	0.110650691491	0.757491861622
7	bwa	0.110199556519	0.771485352502
7	gsnap	0.107660562566	0.752906443487
7	last	0.106536087386	0.765808834473
7	bis1	0.0743589003185	0.561841289293
7	bis2	0.0851252235773	0.628742865229
7	real_R1	0.110601394958	0.704596434451
7	bsmap	0.08141295236	0.611074087893
7	bsmooth	0.0973963519379	0.736416530685
8	bwa	0.109548268723	0.770795942712
8	gsnap	0.107660562566	0.752906443487
8	last	0.106536087386	0.765808834473
8	bis1	0.0743589003185	0.561841289293
8	bis2	0.0851252235773	0.628742865229
8	real_R1	0.110601394958	0.704596434451
8	bsmap	0.08141295236	0.611074087893
8	bsmooth	0.095784053694	0.73415482355
9	bwa	0.10892556006	0.770206015997
9	gsnap	0.107660562566	0.752906443487
9	last	0.106536087386	0.765808834473
9	bis1	0.0743589003185	0.561841289293
9	bis2	0.0851252235773	0.628742865229
9	real_R1	0.110601394958	0.704596434451
9	bsmap	0.08141295236	0.611074087893
9	bsmooth	0.094298037642	0.723854320389
10	bwa	0.108376573694	0.769647536217
10	gsnap	0.107660562566	0.752906443487
10	last	0.106536087386	0.765808834473
10	bis1	0.0743589003185	0.561841289293
10	bis2	0.0851252235773	0.628742865229
10	real_R1	0.110074510449	0.704396083848
10	bsmap	0.08141295236	0.611074087893
10	bsmooth	0.094298037642	0.723854320389
11	bwa	0.107535120937	0.768687415777
11	gsnap	0.107660562566	0.752906443487
11	last	0.106373562106	0.765613626135
11	bis1	0.0743589003185	0.561841289293
11	bis2	0.0851252235773	0.628742865229
11	real_R1	0.110074510449	0.704396083848
11	bsmap	0.08141295236	0.611074087893
11	bsmooth	0.094298037642	0.723854320389
12	bwa	0.106834684942	0.767733030942
12	gsnap	0.107660562566	0.752906443487
12	last	0.106101664779	0.765287883347
12	bis1	0.0743589003185	0.561841289293
12	bis2	0.0851252235773	0.628742865229
12	real_R1	0.0871061333095	0.675665204055
12	bsmap	0.08141295236	0.611074087893
12	bsmooth	0.0933497345256	0.722550212005
13	bwa	0.105965839728	0.766413495759
13	gsnap	0.107660562566	0.752906443487
13	last	0.105644349198	0.764702752784
13	bis1	0.0743589003185	0.561841289293
13	bis2	0.0851252235773	0.628742865229
13	real_R1	0.086938960212	0.675547871384
13	bsmap	0.08141295236	0.611074087893
13	bsmooth	0.0912436798334	0.718698506261
14	bwa	0.104889375514	0.76474344591
14	gsnap	0.107660562566	0.752906443487
14	last	0.105342043278	0.764340519683
14	bis1	0.0743589003185	0.561841289293
14	bis2	0.0851252235773	0.628742865229
14	real_R1	0.086938960212	0.675547871384
14	bsmap	0.08141295236	0.611074087893
14	bsmooth	0.0912436798334	0.718698506261
15	bwa	0.104725070219	0.764653258471
15	gsnap	0.107660562566	0.752906443487
15	last	0.104993951409	0.763905108179
15	bis1	0.0743589003185	0.561841289293
15	bis2	0.0851252235773	0.628742865229
15	real_R1	0.0795031937923	0.666257823538
15	bsmap	0.08141295236	0.611074087893
15	bsmooth	0.090982709822	0.718362874499
16	bwa	0.102790490328	0.762334442514
16	gsnap	0.107660562566	0.752906443487
16	last	0.10451542398	0.763266972717
16	bis1	0.0743589003185	0.561841289293
16	bis2	0.0851252235773	0.628742865229
16	real_R1	0.0795031937923	0.666257823538
16	bsmap	0.08141295236	0.611074087893
16	bsmooth	0.0903445249154	0.717525327886
17	bwa	0.102572240682	0.762199952474
17	gsnap	0.107660562566	0.752906443487
17	last	0.104088961997	0.762736083173
17	bis1	0.0743589003185	0.561841289293
17	bis2	0.0851252235773	0.628742865229
17	real_R1	0.0794145391447	0.666151665407
17	bsmap	0.08141295236	0.611074087893
17	bsmooth	0.0901536182815	0.717300106514
18	bwa	0.102385437972	0.762066006327
18	gsnap	0.107660562566	0.752906443487
18	last	0.103700424227	0.762184426785
18	bis1	0.0743589003185	0.561841289293
18	bis2	0.0851252235773	0.628742865229
18	real_R1	0.0738519420906	0.658432579896
18	bsmap	0.08141295236	0.611074087893
18	bsmooth	0.088779495965	0.714918495575
19	bwa	0.102044218941	0.76180162462
19	gsnap	0.107660562566	0.752906443487
19	last	0.102924238695	0.761119186557
19	bis1	0.0743589003185	0.561841289293
19	bis2	0.0851252235773	0.628742865229
19	real_R1	0.068852472634	0.651502585027
19	bsmap	0.08141295236	0.611074087893
19	bsmooth	0.0876880005119	0.713270152022
20	bwa	0.101740528564	0.761500159262
20	gsnap	0.107660562566	0.752906443487
20	last	0.102365165577	0.760302011229
20	bis1	0.0743589003185	0.561841289293
20	bis2	0.0851252235773	0.628742865229
20	real_R1	0.0688075766942	0.651429208844
20	bsmap	0.08141295236	0.611074087893
20	bsmooth	0.0876880005119	0.713270152022
21	bwa	0.101502006522	0.761339562332
