qual	method	off	on
0	bwa	0.162565676382	0.831354187135
0	gsnap	0.107581648557	0.751157430184
0	last	0.10678682231	0.761464015064
0	bis1	0.0823214523579	0.649470005408
0	bis2	0.0983901443325	0.730518054645
0	real_R1.trim	0.13718478526	0.800056030924
0	bsmap	0.0916778057713	0.689502152483
0	bsmooth	0.151824471115	0.833391414571
1	bwa	0.11363963374	0.768958175872
1	gsnap	0.107581648557	0.751157430184
1	last	0.10678682231	0.761464015064
1	bis1	0.0823214523579	0.649470005408
1	bis2	0.0983901443325	0.730518054645
1	real_R1.trim	0.136607466986	0.799967030162
1	bsmap	0.0916778057713	0.689502152483
1	bsmooth	0.149552825562	0.831489171623
2	bwa	0.113141674478	0.76854249287
2	gsnap	0.107581648557	0.751157430184
2	last	0.10678682231	0.761464015064
2	bis1	0.0823214523579	0.649470005408
2	bis2	0.0983901443325	0.730518054645
2	real_R1.trim	0.112059870219	0.76408014301
2	bsmap	0.0916778057713	0.689502152483
2	bsmooth	0.122623271741	0.792053774656
3	bwa	0.1127002307	0.768217788424
3	gsnap	0.107581648557	0.751157430184
3	last	0.10678682231	0.761464015064
3	bis1	0.0823214523579	0.649470005408
3	bis2	0.0983901443325	0.730518054645
3	real_R1.trim	0.110594274897	0.763842560421
3	bsmap	0.0916778057713	0.689502152483
3	bsmooth	0.118102082489	0.790381549232
4	bwa	0.112134976973	0.76759923313
4	gsnap	0.107581648557	0.751157430184
4	last	0.10678682231	0.761464015064
4	bis1	0.0823214523579	0.649470005408
4	bis2	0.0983901443325	0.730518054645
4	real_R1.trim	0.110594274897	0.763842560421
4	bsmap	0.0916778057713	0.689502152483
4	bsmooth	0.117526989234	0.789674141511
5	bwa	0.111664954061	0.767168469443
5	gsnap	0.107581648557	0.751157430184
5	last	0.10678682231	0.761464015064
5	bis1	0.0823214523579	0.649470005408
5	bis2	0.0983901443325	0.730518054645
5	real_R1.trim	0.110594274897	0.763842560421
5	bsmap	0.0916778057713	0.689502152483
5	bsmooth	0.117452376929	0.789590184126
6	bwa	0.111194585035	0.766613302469
6	gsnap	0.107581648557	0.751157430184
6	last	0.10678682231	0.761464015064
6	bis1	0.0823214523579	0.649470005408
6	bis2	0.0983901443325	0.730518054645
6	real_R1.trim	0.110594274897	0.763842560421
6	bsmap	0.0916778057713	0.689502152483
6	bsmooth	0.117419347757	0.789555671608
7	bwa	0.110697268557	0.766093290796
7	gsnap	0.107581648557	0.751157430184
7	last	0.10678682231	0.761464015064
7	bis1	0.0823214523579	0.649470005408
7	bis2	0.0983901443325	0.730518054645
7	real_R1.trim	0.110594274897	0.763842560421
7	bsmap	0.0916778057713	0.689502152483
7	bsmooth	0.103348623994	0.766985820102
8	bwa	0.110068230951	0.76541945614
8	gsnap	0.107581648557	0.751157430184
8	last	0.10678682231	0.761464015064
8	bis1	0.0823214523579	0.649470005408
8	bis2	0.0983901443325	0.730518054645
8	real_R1.trim	0.110594274897	0.763842560421
8	bsmap	0.0916778057713	0.689502152483
8	bsmooth	0.101645495528	0.764716449012
9	bwa	0.109455361816	0.764810245926
9	gsnap	0.107581648557	0.751157430184
9	last	0.10678682231	0.761464015064
9	bis1	0.0823214523579	0.649470005408
9	bis2	0.0983901443325	0.730518054645
9	real_R1.trim	0.110594274897	0.763842560421
9	bsmap	0.0916778057713	0.689502152483
9	bsmooth	0.100983132081	0.763436568613
10	bwa	0.108947563026	0.764288602572
10	gsnap	0.107581648557	0.751157430184
10	last	0.10678682231	0.761464015064
10	bis1	0.0823214523579	0.649470005408
10	bis2	0.0983901443325	0.730518054645
10	real_R1.trim	0.110446583078	0.763772002595
10	bsmap	0.0916778057713	0.689502152483
10	bsmooth	0.100983132081	0.763436568613
11	bwa	0.108106851941	0.763302770801
11	gsnap	0.107581648557	0.751157430184
11	last	0.106629340406	0.761266433373
11	bis1	0.0823214523579	0.649470005408
11	bis2	0.0983901443325	0.730518054645
11	real_R1.trim	0.110446583078	0.763772002595
11	bsmap	0.0916778057713	0.689502152483
11	bsmooth	0.100983132081	0.763436568613
12	bwa	0.107400284783	0.762325097434
12	gsnap	0.107581648557	0.751157430184
12	last	0.106364266471	0.760941976151
12	bis1	0.0823214523579	0.649470005408
12	bis2	0.0983901443325	0.730518054645
12	real_R1.trim	0.0881612867849	0.735306592296
12	bsmap	0.0916778057713	0.689502152483
12	bsmooth	0.1000532719	0.762214291485
13	bwa	0.106559178139	0.760995524943
13	gsnap	0.107581648557	0.751157430184
13	last	0.105915405963	0.760369651808
13	bis1	0.0823214523579	0.649470005408
13	bis2	0.0983901443325	0.730518054645
13	real_R1.trim	0.0881310265259	0.735276035368
13	bsmap	0.0916778057713	0.689502152483
13	bsmooth	0.0976651836832	0.757873625445
14	bwa	0.105465507112	0.75927454688
14	gsnap	0.107581648557	0.751157430184
14	last	0.105613446156	0.759994661932
14	bis1	0.0823214523579	0.649470005408
14	bis2	0.0983901443325	0.730518054645
14	real_R1.trim	0.0881310265259	0.735276035368
14	bsmap	0.0916778057713	0.689502152483
14	bsmooth	0.0976651836832	0.757873625445
15	bwa	0.105325380357	0.759192023396
15	gsnap	0.107581648557	0.751157430184
15	last	0.10526080536	0.759563206017
15	bis1	0.0823214523579	0.649470005408
15	bis2	0.0983901443325	0.730518054645
15	real_R1.trim	0.0806460624629	0.726449038708
15	bsmap	0.0916778057713	0.689502152483
15	bsmooth	0.0974468845926	0.757583581851
16	bwa	0.103318709849	0.756819905871
16	gsnap	0.107581648557	0.751157430184
16	last	0.104773625079	0.75890267203
16	bis1	0.0823214523579	0.649470005408
16	bis2	0.0983901443325	0.730518054645
16	real_R1.trim	0.0806460624629	0.726449038708
16	bsmap	0.0916778057713	0.689502152483
16	bsmooth	0.0968378227131	0.756784602235
17	bwa	0.103119397587	0.756704007101
17	gsnap	0.107581648557	0.751157430184
17	last	0.104339845255	0.758347752281
17	bis1	0.0823214523579	0.649470005408
17	bis2	0.0983901443325	0.730518054645
17	real_R1.trim	0.0806352340369	0.726430200213
17	bsmap	0.0916778057713	0.689502152483
17	bsmooth	0.0966572006116	0.756577378795
18	bwa	0.102956674528	0.756579900483
18	gsnap	0.107581648557	0.751157430184
18	last	0.103952691942	0.757794464212
18	bis1	0.0823214523579	0.649470005408
18	bis2	0.0983901443325	0.730518054645
18	real_R1.trim	0.0749026949727	0.71906123381
18	bsmap	0.0916778057713	0.689502152483
18	bsmooth	0.0951739534722	0.754033044796
19	bwa	0.10261224158	0.756322292723
19	gsnap	0.107581648557	0.751157430184
19	last	0.103169930242	0.75669708482
19	bis1	0.0823214523579	0.649470005408
19	bis2	0.0983901443325	0.730518054645
19	real_R1.trim	0.0699689871901	0.712595130689
19	bsmap	0.0916778057713	0.689502152483
19	bsmooth	0.0940074501549	0.752281509805
20	bwa	0.102335300876	0.75604505535
20	gsnap	0.107581648557	0.751157430184
20	last	0.102611648242	0.755854000382
20	bis1	0.0823214523579	0.649470005408
20	bis2	0.0983901443325	0.730518054645
20	real_R1.trim	0.0699657238289	0.712583263921
20	bsmap	0.0916778057713	0.689502152483
20	bsmooth	0.0940074501549	0.752281509805
21	bwa	0.102115567885	0.755898105203
21	gsnap	0.107581648557	0.751157430184
21	last	0.102317105165	0.755404101531
21	bis1	0.0823214523579	0.649470005408
21	bis2	0.0983901443325	0.730518054645
21	real_R1.trim	0.0699655260494	0.712583263921
21	bsmap	0.0916778057713	0.689502152483
21	bsmooth	0.0940074501549	0.752281509805
22	bwa	0.101730194586	0.755445289106
22	gsnap	0.107581648557	0.751157430184
22	last	0.100773386953	0.75307722606
22	bis1	0.0823214523579	0.649470005408
22	bis2	0.0983901443325	0.730518054645
22	real_R1.trim	0.0663933815869	0.707786370087
22	bsmap	0.0916778057713	0.689502152483
22	bsmooth	0.0929503188848	0.750871490515
23	bwa	0.101479904666	0.755177297923
23	gsnap	0.107581648557	0.751157430184
23	last	0.100536199923	0.752700950617
23	bis1	0.0823214523579	0.649470005408
23	bis2	0.0983901443325	0.730518054645
23	real_R1.trim	0.0658132943998	0.707710917219
23	bsmap	0.0916778057713	0.689502152483
23	bsmooth	0.0921316107664	0.750106924526
24	bwa	0.10121715464	0.754877563135
24	gsnap	0.107581648557	0.751157430184
24	last	0.100182965788	0.752157749301
24	bis1	0.0823214523579	0.649470005408
24	bis2	0.0983901443325	0.730518054645
24	real_R1.trim	0.0658132943998	0.707710917219
24	bsmap	0.0916778057713	0.689502152483
24	bsmooth	0.0903328559267	0.745899413515
25	bwa	0.100926369373	0.754509495541
25	gsnap	0.107581648557	0.751157430184
25	last	0.0980542159018	0.749259785609
25	bis1	0.0823214523579	0.649470005408
25	bis2	0.0983901443325	0.730518054645
25	real_R1.trim	0.0657845174868	0.707653857842
25	bsmap	0.0916778057713	0.689502152483
25	bsmooth	0.0875318536199	0.737877478189
26	bwa	0.100543715542	0.754010745161
26	gsnap	0.107581648557	0.751157430184
26	last	0.0978951517626	0.74901275905
26	bis1	0.0823214523579	0.649470005408
26	bis2	0.0983901443325	0.730518054645
26	real_R1.trim	0.0629594355295	0.70431108812
26	bsmap	0.0916778057713	0.689502152483
26	bsmooth	0.0865671842522	0.736784845504
27	bwa	0.100146969925	0.75359812774
27	gsnap	0.107581648557	0.751157430184
27	last	0.0977335164903	0.748776511473
27	bis1	0.0823214523579	0.649470005408
27	bis2	0.0983901443325	0.730518054645
27	real_R1.trim	0.0629594355295	0.70431108812
27	bsmap	0.0916778057713	0.689502152483
27	bsmooth	0.0859286532316	0.736271953892
28	bwa	0.0997495815234	0.753088697269
28	gsnap	0.107581549667	0.751157430184
28	last	0.0974559330034	0.748363795163
28	bis1	0.0823214523579	0.649470005408
28	bis2	0.0983901443325	0.730518054645
28	real_R1.trim	0.0629594355295	0.70431108812
28	bsmap	0.0916778057713	0.689502152483
