qual	method	off	on
0	bwa	0.065293	0.9325985
0	sim_R1	0.0366325	0.8611715
0	bsmap	0.005684	0.905166
0	gsnap	0.0045975	0.9147665
0	bis2	0.0026475	0.8302995
0	bsmooth	0.077455	0.920387
0	bis1	0.00943	0.844797
0	last	0.006744	0.9039295
1	bwa	0.000387	0.913342
1	sim_R1	0.0311675	0.8611535
1	bsmap	0.005684	0.905166
1	gsnap	0.0045975	0.9147665
1	bis2	0.0026475	0.8302995
1	bsmooth	0.073807	0.9155395
1	bis1	0.00943	0.844797
1	last	0.006744	0.9039295
2	bwa	0.0003285	0.912585
2	sim_R1	0.018287	0.851532
2	bsmap	0.005684	0.905166
2	gsnap	0.0045975	0.9147665
2	bis2	0.0026475	0.8302995
2	bsmooth	0.0256175	0.9086885
2	bis1	0.00943	0.844797
2	last	0.006744	0.9039295
3	bwa	0.000287	0.912003
3	sim_R1	0.013351	0.851524
3	bsmap	0.005684	0.905166
3	gsnap	0.0045975	0.9147665
3	bis2	0.0026475	0.8302995
3	bsmooth	0.024497	0.9086455
3	bis1	0.00943	0.844797
3	last	0.006744	0.9039295
4	bwa	0.0002505	0.9112645
4	sim_R1	0.013351	0.851524
4	bsmap	0.005684	0.905166
4	gsnap	0.0045975	0.9147665
4	bis2	0.0026475	0.8302995
4	bsmooth	0.0243065	0.9086385
4	bis1	0.00943	0.844797
4	last	0.006744	0.9039295
5	bwa	0.0002225	0.9105595
5	sim_R1	0.013351	0.851524
5	bsmap	0.005684	0.905166
5	gsnap	0.0045975	0.9147665
5	bis2	0.0026475	0.8302995
5	bsmooth	0.024288	0.9086355
5	bis1	0.00943	0.844797
5	last	0.006744	0.9039295
6	bwa	0.000194	0.909771
6	sim_R1	0.013351	0.851524
6	bsmap	0.005684	0.905166
6	gsnap	0.0045975	0.9147665
6	bis2	0.0026475	0.8302995
6	bsmooth	0.0242795	0.9086345
6	bis1	0.00943	0.844797
6	last	0.006744	0.9039295
7	bwa	0.0001765	0.9091545
7	sim_R1	0.013351	0.851524
7	bsmap	0.005684	0.905166
7	gsnap	0.0045975	0.9147665
7	bis2	0.0026475	0.8302995
7	bsmooth	0.008628	0.8907925
7	bis1	0.00943	0.844797
7	last	0.006744	0.9039295
8	bwa	0.000152	0.9084045
8	sim_R1	0.013351	0.851524
8	bsmap	0.005684	0.905166
8	gsnap	0.0045975	0.9147665
8	bis2	0.0026475	0.8302995
8	bsmooth	0.0079215	0.8906535
8	bis1	0.00943	0.844797
8	last	0.006744	0.9039295
9	bwa	0.0001285	0.9075345
9	sim_R1	0.013351	0.851524
9	bsmap	0.005684	0.905166
9	gsnap	0.0045975	0.9147665
9	bis2	0.0026475	0.8302995
9	bsmooth	0.007724	0.8906505
9	bis1	0.00943	0.844797
9	last	0.006744	0.9039295
10	bwa	0.00012	0.9070135
10	sim_R1	0.012122	0.851522
10	bsmap	0.005684	0.905166
10	gsnap	0.0045975	0.9147665
10	bis2	0.0026475	0.8302995
10	bsmooth	0.007724	0.8906505
10	bis1	0.00943	0.844797
10	last	0.006744	0.9039295
11	bwa	0.000106	0.9061835
11	sim_R1	0.012122	0.851522
11	bsmap	0.005684	0.905166
11	gsnap	0.0045975	0.9147665
11	bis2	0.0026475	0.8302995
11	bsmooth	0.007724	0.8906505
11	bis1	0.00943	0.844797
11	last	0.006584	0.903741
12	bwa	9.9e-05	0.90561
12	sim_R1	0.007305	0.819155
12	bsmap	0.005684	0.905166
12	gsnap	0.0045975	0.9147665
12	bis2	0.0026475	0.8302995
12	bsmooth	0.0074505	0.89054
12	bis1	0.00943	0.844797
12	last	0.006322	0.903427
13	bwa	9.5e-05	0.9048875
13	sim_R1	0.00686	0.819154
13	bsmap	0.005684	0.905166
13	gsnap	0.0045975	0.9147665
