qual	method	off	on
0	bwa	0.0669705	0.9307165
0	sim_R1.trim	0.0283425	0.8797035
0	bsmap	0.004633	0.9078105
0	gsnap	0.002674	0.9120395
0	bis2	0.000581	0.850766
0	bsmooth	0.077343	0.9206725
0	bis1	0.010036	0.861851
0	last	0.002629	0.8995755
1	bwa	0.0001275	0.910361
1	sim_R1.trim	0.0240095	0.8796915
1	bsmap	0.004633	0.9078105
1	gsnap	0.002674	0.9120395
1	bis2	0.000581	0.850766
1	bsmooth	0.074735	0.9172825
1	bis1	0.010036	0.861851
1	last	0.002629	0.8995755
2	bwa	0.000109	0.9095225
2	sim_R1.trim	0.011926	0.86944
2	bsmap	0.004633	0.9078105
2	gsnap	0.002674	0.9120395
2	bis2	0.000581	0.850766
2	bsmooth	0.0204335	0.909433
2	bis1	0.010036	0.861851
2	last	0.002629	0.8995755
3	bwa	9.95e-05	0.9088365
3	sim_R1.trim	0.008374	0.869437
3	bsmap	0.004633	0.9078105
3	gsnap	0.002674	0.9120395
3	bis2	0.000581	0.850766
3	bsmooth	0.019451	0.909404
3	bis1	0.010036	0.861851
3	last	0.002629	0.8995755
4	bwa	8.35e-05	0.908073
4	sim_R1.trim	0.008374	0.869437
4	bsmap	0.004633	0.9078105
4	gsnap	0.002674	0.9120395
4	bis2	0.000581	0.850766
4	bsmooth	0.0192585	0.909398
4	bis1	0.010036	0.861851
4	last	0.002629	0.8995755
5	bwa	7.65e-05	0.9073515
5	sim_R1.trim	0.008374	0.869437
5	bsmap	0.004633	0.9078105
5	gsnap	0.002674	0.9120395
5	bis2	0.000581	0.850766
5	bsmooth	0.019242	0.909392
5	bis1	0.010036	0.861851
5	last	0.002629	0.8995755
6	bwa	7.15e-05	0.9065365
6	sim_R1.trim	0.008374	0.869437
6	bsmap	0.004633	0.9078105
6	gsnap	0.002674	0.9120395
6	bis2	0.000581	0.850766
6	bsmooth	0.0192395	0.909391
6	bis1	0.010036	0.861851
6	last	0.002629	0.8995755
7	bwa	6.9e-05	0.905894
7	sim_R1.trim	0.008374	0.869437
7	bsmap	0.004633	0.9078105
7	gsnap	0.002674	0.9120395
7	bis2	0.000581	0.850766
7	bsmooth	0.0082335	0.8913085
7	bis1	0.010036	0.861851
7	last	0.002629	0.8995755
8	bwa	6.6e-05	0.905157
8	sim_R1.trim	0.008374	0.869437
8	bsmap	0.004633	0.9078105
8	gsnap	0.002674	0.9120395
8	bis2	0.000581	0.850766
8	bsmooth	0.0077055	0.8912875
8	bis1	0.010036	0.861851
8	last	0.002629	0.8995755
9	bwa	6e-05	0.9043125
9	sim_R1.trim	0.008374	0.869437
9	bsmap	0.004633	0.9078105
9	gsnap	0.002674	0.9120395
9	bis2	0.000581	0.850766
9	bsmooth	0.0075465	0.8912875
9	bis1	0.010036	0.861851
9	last	0.002629	0.8995755
10	bwa	5.7e-05	0.90379
10	sim_R1.trim	0.007404	0.869437
10	bsmap	0.004633	0.9078105
10	gsnap	0.002674	0.9120395
10	bis2	0.000581	0.850766
10	bsmooth	0.0075465	0.8912875
10	bis1	0.010036	0.861851
10	last	0.002629	0.8995755
11	bwa	5.1e-05	0.902881
11	sim_R1.trim	0.007404	0.869437
11	bsmap	0.004633	0.9078105
11	gsnap	0.002674	0.9120395
11	bis2	0.000581	0.850766
11	bsmooth	0.0075465	0.8912875
11	bis1	0.010036	0.861851
11	last	0.0025945	0.8994445
12	bwa	4.9e-05	0.9023325
12	sim_R1.trim	0.005501	0.837503
12	bsmap	0.004633	0.9078105
12	gsnap	0.002674	0.9120395
12	bis2	0.000581	0.850766
12	bsmooth	0.007325	0.891281
12	bis1	0.010036	0.861851
12	last	0.0025065	0.8991545
13	bwa	4.6e-05	0.901628
13	sim_R1.trim	0.00516	0.837503
13	bsmap	0.004633	0.9078105
13	gsnap	0.002674	0.9120395
13	bis2	0.000581	0.850766
13	bsmooth	0.006385	0.8877435
13	bis1	0.010036	0.861851
13	last	0.0023985	0.898645
14	bwa	4.3e-05	0.9005455
14	sim_R1.trim	0.00516	0.837503
14	bsmap	0.004633	0.9078105
14	gsnap	0.002674	0.9120395
14	bis2	0.000581	0.850766
14	bsmooth	0.006385	0.8877435
14	bis1	0.010036	0.861851
14	last	0.0023015	0.898263
15	bwa	4.3e-05	0.9003665
15	sim_R1.trim	0.004859	0.825507
15	bsmap	0.004633	0.9078105
15	gsnap	0.002674	0.9120395
15	bis2	0.000581	0.850766
15	bsmooth	0.0063335	0.887743
15	bis1	0.010036	0.861851
15	last	0.002203	0.89784
16	bwa	4.1e-05	0.8983305
16	sim_R1.trim	0.004859	0.825507
16	bsmap	0.004633	0.9078105
16	gsnap	0.002674	0.9120395
16	bis2	0.000581	0.850766
16	bsmooth	0.006199	0.887738
16	bis1	0.010036	0.861851
16	last	0.0020885	0.8972965
17	bwa	4.1e-05	0.8977485
17	sim_R1.trim	0.004646	0.825507
17	bsmap	0.004633	0.9078105
17	gsnap	0.002674	0.9120395
17	bis2	0.000581	0.850766
17	bsmooth	0.0061605	0.887737
17	bis1	0.010036	0.861851
17	last	0.0019855	0.896816
18	bwa	4e-05	0.8971575
18	sim_R1.trim	0.004457	0.812441
18	bsmap	0.004633	0.9078105
18	gsnap	0.002674	0.9120395
18	bis2	0.000581	0.850766
18	bsmooth	0.0059	0.8846585
18	bis1	0.010036	0.861851
18	last	0.0018945	0.896396
19	bwa	3.85e-05	0.8965935
19	sim_R1.trim	0.004322	0.798433
19	bsmap	0.004633	0.9078105
19	gsnap	0.002674	0.9120395
19	bis2	0.000581	0.850766
19	bsmooth	0.005714	0.881886
19	bis1	0.010036	0.861851
19	last	0.001776	0.8955995
20	bwa	3.75e-05	0.896085
20	sim_R1.trim	0.00419	0.798432
20	bsmap	0.004633	0.9078105
20	gsnap	0.002674	0.9120395
20	bis2	0.000581	0.850766
20	bsmooth	0.005714	0.881886
20	bis1	0.010036	0.861851
20	last	0.0016965	0.895011
21	bwa	3.75e-05	0.895651
21	sim_R1.trim	0.004098	0.798431
21	bsmap	0.004633	0.9078105
21	gsnap	0.002674	0.9120395
21	bis2	0.000581	0.850766
21	bsmooth	0.005714	0.881886
21	bis1	0.010036	0.861851
21	last	0.001629	0.8946045
22	bwa	3.6e-05	0.895016
22	sim_R1.trim	0.003999	0.784693
22	bsmap	0.004633	0.9078105
22	gsnap	0.002674	0.9120395
22	bis2	0.000581	0.850766
22	bsmooth	0.005632	0.8793565
22	bis1	0.010036	0.861851
22	last	0.001493	0.8929515
23	bwa	3.6e-05	0.8944085
23	sim_R1.trim	0.000537	0.78469
23	bsmap	0.004633	0.9078105
23	gsnap	0.002674	0.9120395
23	bis2	0.000581	0.850766
23	bsmooth	0.0055645	0.877236
23	bis1	0.010036	0.861851
23	last	0.001456	0.8926975
24	bwa	3.6e-05	0.8937565
24	sim_R1.trim	0.000537	0.78469
24	bsmap	0.004633	0.9078105
24	gsnap	0.002674	0.9120395
24	bis2	0.000581	0.850766
24	bsmooth	0.0052185	0.877219
24	bis1	0.010036	0.861851
24	last	0.0013985	0.892165
25	bwa	3.6e-05	0.893229
25	sim_R1.trim	0.000372	0.78469
25	bsmap	0.004633	0.9078105
25	gsnap	0.002674	0.9120395
25	bis2	0.000581	0.850766
25	bsmooth	0.004869	0.8772
25	bis1	0.010036	0.861851
25	last	0.0012685	0.8901465
26	bwa	3.6e-05	0.8925575
26	sim_R1.trim	0.000305	0.773565
26	bsmap	0.004633	0.9078105
26	gsnap	0.002674	0.9120395
26	bis2	0.000581	0.850766
26	bsmooth	0.0047965	0.875112
26	bis1	0.010036	0.861851
26	last	0.001249	0.890044
27	bwa	3.6e-05	0.891854
27	sim_R1.trim	0.000305	0.773565
27	bsmap	0.004633	0.9078105
27	gsnap	0.002674	0.9120395
27	bis2	0.000581	0.850766
27	bsmooth	0.004769	0.8728825
27	bis1	0.010036	0.861851
27	last	0.0012305	0.889941
28	bwa	3.4e-05	0.891359
28	sim_R1.trim	0.000305	0.773565
28	bsmap	0.004633	0.9078105
28	gsnap	0.002674	0.9120395
28	bis2	0.000581	0.850766
28	bsmooth	0.0047505	0.871417
28	bis1	0.010036	0.861851
28	last	0.001207	0.889689
29	bwa	3.4e-05	0.8905895
29	sim_R1.trim	0.000192	0.773564
29	bsmap	0.004633	0.9078105
29	gsnap	0.002674	0.9120395
29	bis2	0.000581	0.850766
29	bsmooth	0.0047505	0.871417
29	bis1	0.010036	0.861851
29	last	0.0011895	0.889571
30	bwa	3.4e-05	0.890012
30	sim_R1.trim	0.000192	0.773564
30	bsmap	0.004633	0.9078105
30	gsnap	0.002674	0.9120395
30	bis2	0.000581	0.850766
30	bsmooth	0.0047505	0.871417
30	bis1	0.010036	0.861851
